stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2338,1423,"Św. Franciszka-Zwrotnikowa",,51.726690,19.439050,1,,0,,,0
2339,1954,"Prądzyńskiego-Darniowa NŻ",,51.722980,19.430880,1,,0,,,0
2340,1955,"Prądzyńskiego-Rozwojowa",,51.723090,19.426980,1,,0,,,0
2364,0104,"Tatrzańska-Rydla",,51.736220,19.494380,1,,0,,,0
2365,0121,"Dąbrowskiego-Tatrzańska",,51.737000,19.496230,1,,0,,,0
2366,3483,"Stara Gadka-Skrajna",,51.688240,19.453280,1,,0,,,0
2367,3484,"Starowa Góra-Zagłoby",,51.696230,19.478640,1,,0,,,0
2368,4270,"Śmigłego Rydza-Grota-Roweckiego",,51.743280,19.489530,1,,0,,,0
2369,4271,"Śmigłego Rydza-Grota-Roweckiego",,51.743430,19.489120,1,,0,,,0
2376,0496,"Mickiewicza-Łąkowa NŻ",,51.756540,19.442970,1,,0,,,0
2377,0498,"Mickiewicza-Łąkowa NŻ",,51.756470,19.441660,1,,0,,,0
2379,1470,"Zielona-pl. Hallera",,51.768840,19.439490,1,,0,,,0
2381,1922,"Narutowicza-Kopcińskiego",,51.773050,19.484180,1,,0,,,0
2402,4076,"Srebrzyńska-Koziny",,51.772780,19.423000,1,,0,,,0
2405,4406,"Legionów-Cmentarna",,51.774940,19.442900,1,,0,,,0
2411,0665,"Służbowa-Jurczyńskiego NŻ",,51.760780,19.551300,1,,0,,,0
2412,0666,"Służbowa-Jurczyńskiego NŻ",,51.760680,19.551480,1,,0,,,0
2416,0703,"ŁSSE Nowy Józefów",,51.740920,19.367420,1,,0,,,0
2418,2042,"Gillette-Nowy Józefów",,51.740020,19.367550,1,,0,,,0
2425,3302,"Daszyńskiego-Sienkiewicza (Aleksandrów)",,51.823720,19.303640,2,,0,,,0
2426,3303,"1 Maja-MDK (Aleksandrów)",,51.822480,19.298260,2,,0,,,0
2427,3304,"1 Maja-MDK (Aleksandrów)",,51.821310,19.297780,2,,0,,,0
2428,3305,"Wierzbińska-11 Listopada (Aleksandrów)",,51.816440,19.301180,2,,0,,,0
